source,source_id,brand,product_name,category,category_mapped,ingredients,form,image_url,upc_ean,country,lang,raw_json
openfoodfacts,0810143512847,Just Ingredients,Coconut Lime Electrolytes,en:sports-nutrition,isotonic,"Organic Coconut Water, Organic Lime*, Potassium Citrate (Electrolyte), Magnesium Citrate (Electrolyte), Sodium Chloride (Electrolyte), Calcium Citrate (Electrolyte), Organic Stevia Leaf, Citric Acid (Cassava Root), Lime Extract, Organic Monk Fruit, *With Tapioca Starch | CONTAINS COCONUT",,data/images/5294534ef8bb190e51c0ced919c4a85c.jpg,0810143512847,en:united-states,en,"{""brands"": ""Just Ingredients"", ""categories"": ""en:sports-nutrition"", ""code"": ""0810143512847"", ""countries"": ""en:united-states"", ""image_url"": ""https://images.openfoodfacts.org/images/products/081/014/351/2847/front_en.3.400.jpg"", ""ingredients_text"": ""Organic Coconut Water, Organic Lime*, Potassium Citrate (Electrolyte), Magnesium Citrate (Electrolyte), Sodium Chloride (Electrolyte), Calcium Citrate (Electrolyte), Organic Stevia Leaf, Citric Acid (Cassava Root), Lime Extract, Organic Monk Fruit, *With Tapioca Starch | CONTAINS COCONUT"", ""lang"": ""en"", ""product_name"": ""Coconut Lime Electrolytes""}"
openfoodfacts,0810143511376,Just Ingredients,Raspberry Lemonade Electrolytes,en:sports-nutrition,isotonic,"Organic Raspberry, Citric Acid (Cassava Root), Peach*, Potassium Citrate (Electrolyte), Organic Coconut Water, Magnesium Citrate (Electrolyte), Sodium Chloride (Electrolyte), Calcium Citrate (Electrolyte), Lemon Extract, Organic Stevia Leaf, Organic Monk Fruit, *With Tapioca Starch",,data/images/a64611e7fce75473883fbca0dcb2753c.jpg,0810143511376,en:united-states,en,"{""brands"": ""Just Ingredients"", ""categories"": ""en:sports-nutrition"", ""code"": ""0810143511376"", ""countries"": ""en:united-states"", ""image_url"": ""https://images.openfoodfacts.org/images/products/081/014/351/1376/front_en.3.400.jpg"", ""ingredients_text"": ""Organic Raspberry, Citric Acid (Cassava Root), Peach*, Potassium Citrate (Electrolyte), Organic Coconut Water, Magnesium Citrate (Electrolyte), Sodium Chloride (Electrolyte), Calcium Citrate (Electrolyte), Lemon Extract, Organic Stevia Leaf, Organic Monk Fruit, *With Tapioca Starch"", ""lang"": ""en"", ""product_name"": ""Raspberry Lemonade Electrolytes""}"
openfoodfacts,0860011967613,DryWater,Lemon Lime Hydration Powder,en:sports-nutrition,vitamins,"Potassium Citrate, Glycine (Amino Acid), Dry Lemon Juice Powder, Orange Juice Powder, Sodium Citrate, Dry Lime Juice Powder, DL-Malic Acid, Pink Sea Salt (Chloride), Citric Acid, Calcium Lactate (pentahydrate), Magnesium Citrate, Organic Coconut Water Powder, Natural Lemon Flavor, Organic Stevia Leaf, Silicon Dioxide, Luo Han Guo, Vitamin C (ascorbic acid), Natural Lime Flavor, Vitamin B3 (niacinamide), Organic Banana Powder, Vitamin B5 (pantothenic acid), Zinc Oxide, Vitamin B6 (pyridoxine HCI), Vitamin B12 (methylcobalamin 1%)",,data/images/a4bd546c085b5e01073f224aabf51423.jpg,0860011967613,en:United States,en,"{""brands"": ""DryWater"", ""categories"": ""en:sports-nutrition"", ""code"": ""0860011967613"", ""countries"": ""en:United States"", ""image_url"": ""https://images.openfoodfacts.org/images/products/086/001/196/7613/front_en.8.400.jpg"", ""ingredients_text"": ""Potassium Citrate, Glycine (Amino Acid), Dry Lemon Juice Powder, Orange Juice Powder, Sodium Citrate, Dry Lime Juice Powder, DL-Malic Acid, Pink Sea Salt (Chloride), Citric Acid, Calcium Lactate (pentahydrate), Magnesium Citrate, Organic Coconut Water Powder, Natural Lemon Flavor, Organic Stevia Leaf, Silicon Dioxide, Luo Han Guo, Vitamin C (ascorbic acid), Natural Lime Flavor, Vitamin B3 (niacinamide), Organic Banana Powder, Vitamin B5 (pantothenic acid), Zinc Oxide, Vitamin B6 (pyridoxine HCI), Vitamin B12 (methylcobalamin 1%)"", ""lang"": ""en"", ""product_name"": ""Lemon Lime Hydration Powder""}"
openfoodfacts,0810143511314,Just Ingredients,Guava Mango Pre-Workout,en:sports-nutrition,preworkout,"Guava (Guava*, Tapioca Starch), Mango (Mango, Tapioca Starch), Peach (Peach, Tapioca Starch), Stevia Leaf*, Monk Fruit*, *Organic Ingredient",,data/images/cd7566e039e10c03282d08b2a30d7061.jpg,0810143511314,en:United States,en,"{""brands"": ""Just Ingredients"", ""categories"": ""en:sports-nutrition"", ""code"": ""0810143511314"", ""countries"": ""en:United States"", ""image_url"": ""https://images.openfoodfacts.org/images/products/081/014/351/1314/front_en.3.400.jpg"", ""ingredients_text"": ""Guava (Guava*, Tapioca Starch), Mango (Mango, Tapioca Starch), Peach (Peach, Tapioca Starch), Stevia Leaf*, Monk Fruit*, *Organic Ingredient"", ""lang"": ""en"", ""product_name"": ""Guava Mango Pre-Workout""}"
openfoodfacts,5024688000102,Purendure,Banana energy pouch,Sports Nutrition,,"Banana Puree (73%), Date Syrup (27%), Salt, Lemon Juice From Concentrate",,data/images/f91b93d26ba6b904c4065b4b876fbb6c.jpg,5024688000102,en:united-kingdom,en,"{""brands"": ""Purendure"", ""categories"": ""Sports Nutrition"", ""code"": ""5024688000102"", ""countries"": ""en:united-kingdom"", ""image_url"": ""https://images.openfoodfacts.org/images/products/502/468/800/0102/front_en.17.400.jpg"", ""ingredients_text"": ""Banana Puree (73%), Date Syrup (27%), Salt, Lemon Juice From Concentrate"", ""lang"": ""en"", ""product_name"": ""Banana energy pouch""}"
openfoodfacts,8436037960420,,,creatine,creatine,,,,8436037960420,en:morocco,en,"{""categories"": ""creatine"", ""code"": ""8436037960420"", ""countries"": ""en:morocco"", ""lang"": ""en""}"
openfoodfacts,5060245605397,Optimum Nutrition,Micronised Creatine Powder,"Dietary supplements, Bodybuilding supplements, Creatine",creatine,Creatine Monohydrate,,data/images/933b1ef35ade479b6bf53564fedca920.jpg,5060245605397,"France, Morocco, United Kingdom, en:spain",en,"{""brands"": ""Optimum Nutrition"", ""categories"": ""Dietary supplements, Bodybuilding supplements, Creatine"", ""code"": ""5060245605397"", ""countries"": ""France, Morocco, United Kingdom, en:spain"", ""image_url"": ""https://images.openfoodfacts.org/images/products/506/024/560/5397/front_en.25.400.jpg"", ""ingredients_text"": ""Creatine Monohydrate"", ""lang"": ""en"", ""product_name"": ""Micronised Creatine Powder""}"
openfoodfacts,0631656705737,MuscleTech,Platinum 100% Creatine,"Suplementos dietéticos,Suplementos de culturismo,Creatina",creatine,Creatina Monohidratada,,data/images/da5f39fbdc17280228b55c4055abfa45.jpg,0631656705737,"Bolivia,Marruecos",en,"{""brands"": ""MuscleTech"", ""categories"": ""Suplementos dietéticos,Suplementos de culturismo,Creatina"", ""code"": ""0631656705737"", ""countries"": ""Bolivia,Marruecos"", ""image_url"": ""https://images.openfoodfacts.org/images/products/063/165/670/5737/front_en.39.400.jpg"", ""ingredients_text"": ""Creatina Monohidratada"", ""lang"": ""en"", ""product_name"": ""Platinum 100% Creatine""}"
openfoodfacts,5060763895829,,,"Dietary supplements,Bodybuilding supplements,Creatine,ar:5060763895829",creatine,,,data/images/e82956d1dfda5ba69cab035547b5c739.jpg,5060763895829,"Egypt,Morocco",en,"{""brands"": """", ""categories"": ""Dietary supplements,Bodybuilding supplements,Creatine,ar:5060763895829"", ""code"": ""5060763895829"", ""countries"": ""Egypt,Morocco"", ""image_url"": ""https://images.openfoodfacts.org/images/products/506/076/389/5829/front_en.11.400.jpg"", ""ingredients_text"": """", ""lang"": ""en"", ""product_name"": """"}"
openfoodfacts,0748927023848,Optimum Nutrition,Micronized Creatine Powder,Creatine,creatine,Creatine Monohydrate,,data/images/2bd9ba85d7e141e6efe6160971081326.jpg,0748927023848,en:Thailand,en,"{""brands"": ""Optimum Nutrition"", ""categories"": ""Creatine"", ""code"": ""0748927023848"", ""countries"": ""en:Thailand"", ""image_url"": ""https://images.openfoodfacts.org/images/products/074/892/702/3848/front_en.21.400.jpg"", ""ingredients_text"": ""Creatine Monohydrate"", ""lang"": ""en"", ""product_name"": ""Micronized Creatine Powder""}"
openfoodfacts,0748927023855,Optimum Nutrition,Micronized Creatine Powder,"Suplementos dietéticos,Suplementos de culturismo,Creatina",creatine,Creatine Monohydrate.,,data/images/2bba9ccb54382a3df6b83789b730149e.jpg,0748927023855,"Bolivia,Estados Unidos",en,"{""brands"": ""Optimum Nutrition"", ""categories"": ""Suplementos dietéticos,Suplementos de culturismo,Creatina"", ""code"": ""0748927023855"", ""countries"": ""Bolivia,Estados Unidos"", ""image_url"": ""https://images.openfoodfacts.org/images/products/074/892/702/3855/front_en.88.400.jpg"", ""ingredients_text"": ""Creatine Monohydrate."", ""lang"": ""en"", ""product_name"": ""Micronized Creatine Powder""}"
openfoodfacts,5055534301999,MyProtein,Creatine Monohydrate,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Kreatin",creatine,Kreatin-monohydrat 100%,,data/images/4ae0b920e8353d2580dd2a8ac954b436.jpg,5055534301999,"Frankreich,Deutschland",de,"{""brands"": ""MyProtein"", ""categories"": ""Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Kreatin"", ""code"": ""5055534301999"", ""countries"": ""Frankreich,Deutschland"", ""image_url"": ""https://images.openfoodfacts.org/images/products/505/553/430/1999/front_en.9.400.jpg"", ""ingredients_text"": ""Kreatin-monohydrat 100%"", ""lang"": ""de"", ""product_name"": ""Creatine Monohydrate""}"
openfoodfacts,5060424707577,Warrior,Creatine Micronised,"Dietary supplements, Bodybuilding supplements, Creatine",creatine,Micronised Creatine Monohydrate,,data/images/82c01ef57c06f727c2ca617af86c7baa.jpg,5060424707577,Canada,en,"{""brands"": ""Warrior"", ""categories"": ""Dietary supplements, Bodybuilding supplements, Creatine"", ""code"": ""5060424707577"", ""countries"": ""Canada"", ""image_url"": ""https://images.openfoodfacts.org/images/products/506/042/470/7577/front_en.6.400.jpg"", ""ingredients_text"": ""Micronised Creatine Monohydrate"", ""lang"": ""en"", ""product_name"": ""Creatine Micronised""}"
openfoodfacts,0693749006350,Thorne,THORNE,"Dietary supplements,Bodybuilding supplements,Creatine",creatine,creatine monohydrate,,data/images/244adad3b0dcb32bba2577da079907b1.jpg,0693749006350,United Kingdom,en,"{""brands"": ""Thorne"", ""categories"": ""Dietary supplements,Bodybuilding supplements,Creatine"", ""code"": ""0693749006350"", ""countries"": ""United Kingdom"", ""image_url"": ""https://images.openfoodfacts.org/images/products/069/374/900/6350/front_en.31.400.jpg"", ""ingredients_text"": ""creatine monohydrate"", ""lang"": ""en"", ""product_name"": ""THORNE""}"
openfoodfacts,4064793895829,,dynutrition,creatine,creatine,,,data/images/123cf6ffcb2fbcf4a9abb01ed2bd3664.jpg,4064793895829,United Kingdom,en,"{""categories"": ""creatine"", ""code"": ""4064793895829"", ""countries"": ""United Kingdom"", ""image_url"": ""https://images.openfoodfacts.org/images/products/406/479/389/5829/front_en.3.400.jpg"", ""lang"": ""en"", ""product_name"": ""dynutrition""}"
openfoodfacts,4029679676879,Dymatize,ISO100 hydrolyzed protein powder strawberry flavour 100% whey protein isolate,creatine,creatine,"Hydrolized whey protein isolate (milk) (49%), whey protein isolate (milk) (47%), flavouring, emulsifier (lecithins), salt, colouring food (maltodextrin, beetroot juice powder), acids (malic acid, citric acid), sweeteners (sucralose, steviol glycosides from stevia), anti-caking agent (silicon dioxide). May contain: eggs, soy. As part of a varied and balanced diet and a healthy lifestyle.",,data/images/8f5a19fe683e3177b7fa052cec5f862d.jpg,4029679676879,en:france,en,"{""brands"": ""Dymatize"", ""categories"": ""creatine"", ""code"": ""4029679676879"", ""countries"": ""en:france"", ""image_url"": ""https://images.openfoodfacts.org/images/products/402/967/967/6879/front_en.24.400.jpg"", ""ingredients_text"": ""Hydrolized whey protein isolate (milk) (49%), whey protein isolate (milk) (47%), flavouring, emulsifier (lecithins), salt, colouring food (maltodextrin, beetroot juice powder), acids (malic acid, citric acid), sweeteners (sucralose, steviol glycosides from stevia), anti-caking agent (silicon dioxide). May contain: eggs, soy. As part of a varied and balanced diet and a healthy lifestyle."", ""lang"": ""en"", ""product_name"": ""ISO100 hydrolyzed protein powder strawberry flavour 100% whey protein isolate""}"
openfoodfacts,5902837703374,,,"Suplementy diety,en:Bodybuilding supplements,en:Creatine,Kreatyna",creatine,,,data/images/d47e91195cd2fea2ac18b136fe576d0e.jpg,5902837703374,en:romania,ro,"{""categories"": ""Suplementy diety,en:Bodybuilding supplements,en:Creatine,Kreatyna"", ""code"": ""5902837703374"", ""countries"": ""en:romania"", ""image_url"": ""https://images.openfoodfacts.org/images/products/590/283/770/3374/front_fa.3.400.jpg"", ""lang"": ""ro""}"
openfoodfacts,5055534364871,MyProtein,Creatine monohydrate,"Compléments alimentaires, Compléments pour le Bodybuilding, en:Creatine",creatine,"(per 4g serving), creatine monohydrate (3g). ingredients: creatine monohydrate, flavouring, acid (citric acid), sweetener (sucralose), curcuma oil extract. allergen information: produced in a facility which also handles milk. suggested use: mix 1 scoop (4g) with 250-300ml of water, shake and consume. use once daily, before or after exercise. important information: do not exceed the stated recommended daily dose. this product should not be used as a substitute for a varied balanced diet.",,data/images/de83c874de429c5f9e336edc42ea0395.jpg,5055534364871,en:fr,fr,"{""brands"": ""MyProtein"", ""categories"": ""Compléments alimentaires, Compléments pour le Bodybuilding, en:Creatine"", ""code"": ""5055534364871"", ""countries"": ""en:fr"", ""image_url"": ""https://images.openfoodfacts.org/images/products/505/553/436/4871/front_fr.3.400.jpg"", ""ingredients_text"": ""(per 4g serving), creatine monohydrate (3g). ingredients: creatine monohydrate, flavouring, acid (citric acid), sweetener (sucralose), curcuma oil extract. allergen information: produced in a facility which also handles milk. suggested use: mix 1 scoop (4g) with 250-300ml of water, shake and consume. use once daily, before or after exercise. important information: do not exceed the stated recommended daily dose. this product should not be used as a substitute for a varied balanced diet."", ""lang"": ""fr"", ""product_name"": ""Creatine monohydrate""}"
openfoodfacts,5060424707591,Warrior,Creatine monohydrate,Creatine,creatine,"Micronised Creatine Monohydrate, Flavouring, Colouring (Beetroot Red), Sweetener (Sucralose, Stevia), Citric Acid.",,data/images/f76b99b699a52582c85570e663e65f2e.jpg,5060424707591,en:gb,en,"{""brands"": ""Warrior"", ""categories"": ""Creatine"", ""code"": ""5060424707591"", ""countries"": ""en:gb"", ""image_url"": ""https://images.openfoodfacts.org/images/products/506/042/470/7591/front_en.6.400.jpg"", ""ingredients_text"": ""Micronised Creatine Monohydrate, Flavouring, Colouring (Beetroot Red), Sweetener (Sucralose, Stevia), Citric Acid."", ""lang"": ""en"", ""product_name"": ""Creatine monohydrate""}"
openfoodfacts,9330171024040,BSC,Pure Creatine,"Dietary supplements, Bodybuilding supplements, Creatine",creatine,Creatine Monohydrate,,data/images/020e9cd959928cbccb0cb3de410c2ff0.jpg,9330171024040,en:au,en,"{""brands"": ""BSC"", ""categories"": ""Dietary supplements, Bodybuilding supplements, Creatine"", ""code"": ""9330171024040"", ""countries"": ""en:au"", ""image_url"": ""https://images.openfoodfacts.org/images/products/933/017/102/4040/front_en.3.400.jpg"", ""ingredients_text"": ""Creatine Monohydrate"", ""lang"": ""en"", ""product_name"": ""Pure Creatine""}"
openfoodfacts,0649908230166,,Creatine monohydrate,Creatine,creatine,Creatine Monohydrate,,data/images/a2ad0f480c009639a6a9a90625e2f7b1.jpg,0649908230166,en:us,en,"{""categories"": ""Creatine"", ""code"": ""0649908230166"", ""countries"": ""en:us"", ""image_url"": ""https://images.openfoodfacts.org/images/products/064/990/823/0166/front_en.3.400.jpg"", ""ingredients_text"": ""Creatine Monohydrate"", ""lang"": ""en"", ""product_name"": ""Creatine monohydrate""}"
openfoodfacts,0646511031159,,,ca:creatina,,,,data/images/fcb147c0dcddb09a6471ee585c99fe12.jpg,0646511031159,en:Cabo Verde,pt,"{""categories"": ""ca:creatina"", ""code"": ""0646511031159"", ""countries"": ""en:Cabo Verde"", ""image_url"": ""https://images.openfoodfacts.org/images/products/064/651/103/1159/front_pt.3.400.jpg"", ""lang"": ""pt""}"
openfoodfacts,5999076239917,BiotechUSA,Creatine zero,"Bodybuilding supplements,Creatine",creatine,"creatine monohydrate 31%, food acid (citric acid), acidity regulator (sodium carbonates), bulking agent (sorbitol), beetroot powder, flavor, sweetener (sucralose), color (ammonium sulfite caramel).",,data/images/fec0d7e444ece97745cce39b33bf178c.jpg,5999076239917,en:fr,en,"{""brands"": ""BiotechUSA"", ""categories"": ""Bodybuilding supplements,Creatine"", ""code"": ""5999076239917"", ""countries"": ""en:fr"", ""image_url"": ""https://images.openfoodfacts.org/images/products/599/907/623/9917/front_fr.3.400.jpg"", ""ingredients_text"": ""creatine monohydrate 31%, food acid (citric acid), acidity regulator (sodium carbonates), bulking agent (sorbitol), beetroot powder, flavor, sweetener (sucralose), color (ammonium sulfite caramel)."", ""lang"": ""en"", ""product_name"": ""Creatine zero""}"
openfoodfacts,5901947666562,KFD,Premium Creatine Cola,"Dietary supplements, Bodybuilding supplements, Creatine",creatine,,,data/images/528fe048de3479d14f81f45da01588f3.jpg,5901947666562,en:Poland,en,"{""brands"": ""KFD"", ""categories"": ""Dietary supplements, Bodybuilding supplements, Creatine"", ""code"": ""5901947666562"", ""countries"": ""en:Poland"", ""image_url"": ""https://images.openfoodfacts.org/images/products/590/194/766/6562/front_en.3.400.jpg"", ""lang"": ""en"", ""product_name"": ""Premium Creatine Cola""}"
openfoodfacts,4260289444865,,"Nu3 Sports Creatine, Powder, 5 X","Compléments alimentaires, Compléments pour le Bodybuilding, en:Creatine",creatine,,,,4260289444865,France,fr,"{""categories"": ""Compléments alimentaires, Compléments pour le Bodybuilding, en:Creatine"", ""code"": ""4260289444865"", ""countries"": ""France"", ""lang"": ""fr"", ""product_name"": ""Nu3 Sports Creatine, Powder, 5 X""}"
openfoodfacts,4250665316947,TNT,Creatine Monohydrate,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Kreatin",creatine,100% Creatine Monohydrate Creapure.,,data/images/c524d4a42b8f71361943d4cd21a06d88.jpg,4250665316947,Deutschland,de,"{""brands"": ""TNT, True Nutrition Technology"", ""categories"": ""Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Kreatin"", ""code"": ""4250665316947"", ""countries"": ""Deutschland"", ""image_url"": ""https://images.openfoodfacts.org/images/products/425/066/531/6947/front_de.6.400.jpg"", ""ingredients_text"": ""100% Creatine Monohydrate Creapure."", ""lang"": ""de"", ""product_name"": ""Creatine Monohydrate""}"
openfoodfacts,0553147201675,,,Créatine monohydrate,,,,data/images/c76797a86e447d7b99e9002ca2547136.jpg,0553147201675,en:France,fr,"{""categories"": ""Créatine monohydrate"", ""code"": ""0553147201675"", ""countries"": ""en:France"", ""image_url"": ""https://images.openfoodfacts.org/images/products/055/314/720/1675/front_fr.3.400.jpg"", ""lang"": ""fr""}"
openfoodfacts,5060424707584,Warrior,Savage Strawberry Creatine,"Dietary supplements,Bodybuilding supplements,Creatine",creatine,"Micronised Creatine Monohydrate, Flavouring, Colouring (Beetroot Red), Sweetener (Sucralose, Stevia), Citric Acid.",,data/images/0f6a541d6d2851402691934669625a12.jpg,5060424707584,United Kingdom,en,"{""brands"": ""Warrior"", ""categories"": ""Dietary supplements,Bodybuilding supplements,Creatine"", ""code"": ""5060424707584"", ""countries"": ""United Kingdom"", ""image_url"": ""https://images.openfoodfacts.org/images/products/506/042/470/7584/front_en.16.400.jpg"", ""ingredients_text"": ""Micronised Creatine Monohydrate, Flavouring, Colouring (Beetroot Red), Sweetener (Sucralose, Stevia), Citric Acid."", ""lang"": ""en"", ""product_name"": ""Savage Strawberry Creatine""}"
openfoodfacts,8719214561710,XXL nutrition,Creatine monohydrate,"Dietary supplements, Bodybuilding supplements, Creatine",creatine,"Creatine Monohydrate, Warning: This dietary supplement is including 17 years of age, Do not exceed the recommended daily intake, keep reach of children, Food supplements should not replace a varied and balanced (DE) Zutaten: Kreatin-Monohydrat, Achtung: Für Kinder bis einschließlich 17 nicht geeignet, Die empfohlene Tagesdosis nicht überschreiten, Kühl und Kindern, Nahrungsergänzungsmittel sind kein Ersatz für eine abwechs eine gesunde Lebensweise Galaxy S21 Ultra 5G Creatine Monohydrate, Avertissement: Ce comp sava 17 ans inclus, Ne pas dépasser rapport quotidien recomman es enfants, Les compléments alimentaires ne remplar",,data/images/bc448f06fd498df14932f98db573e1f3.jpg,8719214561710,nl,de,"{""brands"": ""XXL nutrition"", ""categories"": ""Dietary supplements, Bodybuilding supplements, Creatine"", ""code"": ""8719214561710"", ""countries"": ""nl"", ""image_url"": ""https://images.openfoodfacts.org/images/products/871/921/456/1710/front_en.4.400.jpg"", ""ingredients_text"": ""Creatine Monohydrate, Warning: This dietary supplement is including 17 years of age, Do not exceed the recommended daily intake, keep reach of children, Food supplements should not replace a varied and balanced (DE) Zutaten: Kreatin-Monohydrat, Achtung: Für Kinder bis einschließlich 17 nicht geeignet, Die empfohlene Tagesdosis nicht überschreiten, Kühl und Kindern, Nahrungsergänzungsmittel sind kein Ersatz für eine abwechs eine gesunde Lebensweise Galaxy S21 Ultra 5G Creatine Monohydrate, Avertissement: Ce comp sava 17 ans inclus, Ne pas dépasser rapport quotidien recomman es enfants, Les compléments alimentaires ne remplar"", ""lang"": ""de"", ""product_name"": ""Creatine monohydrate""}"
openfoodfacts,9351594002712,SUP,SUP CREATINE HIGH PERFORMANCE GUMMIES,Creatine,creatine,"Glucose Syrup, Creatine Monohydrate, Sucrose, Glycerine, White Sugar, Gelatin, Water, Citric Acid, Agar, Natural Flavour. &quot;compared to 3000mg creatine per serve in a formulated supplementary sports food creatine powder SUPSUPPLEMENTS.COM der licence. TRAIN HARDER PUSH THROUGH PLA EXPLOSIVE EXERCIS MUSCLE GAINS n The food is not a sole source of should be consumed in conjunct nutritious diet and exercise prog suitable for children under 15 y pregnant women. Should only medical or dietetic supervision Do not use if tamper evident or missing. Reseal immediatel Store below 25°C. Formulated Supplementary S LOT AH0000 MFG 280620 @SUP_SUPPLEMENTS Than a range of leading supplement containers based on weight. EXP 2712202",,data/images/26b1cfd270ecab64fa6c7a46e3471687.jpg,9351594002712,en:Australia,en,"{""brands"": ""SUP"", ""categories"": ""Creatine"", ""code"": ""9351594002712"", ""countries"": ""en:Australia"", ""image_url"": ""https://images.openfoodfacts.org/images/products/935/159/400/2712/front_en.31.400.jpg"", ""ingredients_text"": ""Glucose Syrup, Creatine Monohydrate, Sucrose, Glycerine, White Sugar, Gelatin, Water, Citric Acid, Agar, Natural Flavour. &quot;compared to 3000mg creatine per serve in a formulated supplementary sports food creatine powder SUPSUPPLEMENTS.COM der licence. TRAIN HARDER PUSH THROUGH PLA EXPLOSIVE EXERCIS MUSCLE GAINS n The food is not a sole source of should be consumed in conjunct nutritious diet and exercise prog suitable for children under 15 y pregnant women. Should only medical or dietetic supervision Do not use if tamper evident or missing. Reseal immediatel Store below 25°C. Formulated Supplementary S LOT AH0000 MFG 280620 @SUP_SUPPLEMENTS Than a range of leading supplement containers based on weight. EXP 2712202"", ""lang"": ""en"", ""product_name"": ""SUP CREATINE HIGH PERFORMANCE GUMMIES""}"
openfoodfacts,0725414437647,No Whey,Creatine,Creatine,creatine,,,data/images/8f1969f70e9bc42c6b52acfef05166f0.jpg,0725414437647,en:New Zealand,en,"{""brands"": ""No Whey"", ""categories"": ""Creatine"", ""code"": ""0725414437647"", ""countries"": ""en:New Zealand"", ""image_url"": ""https://images.openfoodfacts.org/images/products/072/541/443/7647/front_en.13.400.jpg"", ""lang"": ""en"", ""product_name"": ""Creatine""}"
openfoodfacts,0854446006566,RSP,Creatine,"Dietary supplements, Bodybuilding supplements, Creatine",creatine,Creatine Monohydrate,,data/images/b0beb86a13f7862449090eabd9d9b394.jpg,0854446006566,en:Ireland,en,"{""brands"": ""RSP"", ""categories"": ""Dietary supplements, Bodybuilding supplements, Creatine"", ""code"": ""0854446006566"", ""countries"": ""en:Ireland"", ""image_url"": ""https://images.openfoodfacts.org/images/products/085/444/600/6566/front_en.3.400.jpg"", ""ingredients_text"": ""Creatine Monohydrate"", ""lang"": ""en"", ""product_name"": ""Creatine""}"
openfoodfacts,4250519600185,ESN,Ultrapure Creatine Monohydrate,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Kreatin",creatine,Creatin Monohydrat,,data/images/543341fbdd63076e75d49b768573f964.jpg,4250519600185,Deutschland,de,"{""brands"": ""ESN"", ""categories"": ""Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Kreatin"", ""code"": ""4250519600185"", ""countries"": ""Deutschland"", ""image_url"": ""https://images.openfoodfacts.org/images/products/425/051/960/0185/front_en.36.400.jpg"", ""ingredients_text"": ""Creatin Monohydrat"", ""lang"": ""de"", ""product_name"": ""Ultrapure Creatine Monohydrate""}"
openfoodfacts,5060465380487,Innermost,Creatine Monohydrate,Creatine,creatine,,,data/images/4ab4d28064fe02c70d69ab1f13b4e075.jpg,5060465380487,en:Mauritius,en,"{""brands"": ""Innermost"", ""categories"": ""Creatine"", ""code"": ""5060465380487"", ""countries"": ""en:Mauritius"", ""image_url"": ""https://images.openfoodfacts.org/images/products/506/046/538/0487/front_en.12.400.jpg"", ""lang"": ""en"", ""product_name"": ""Creatine Monohydrate""}"
openfoodfacts,0850042128084,Naked,Naked Creatine,en:creatine,creatine,Creatine Monohydrate,,data/images/5ec5d1a75212a30056a0f2755d0c85a0.jpg,0850042128084,en:us,en,"{""brands"": ""Naked"", ""categories"": ""en:creatine"", ""code"": ""0850042128084"", ""countries"": ""en:us"", ""image_url"": ""https://images.openfoodfacts.org/images/products/085/004/212/8084/front_en.8.400.jpg"", ""ingredients_text"": ""Creatine Monohydrate"", ""lang"": ""en"", ""product_name"": ""Naked Creatine""}"
openfoodfacts,5601312107668,Way Up,Creatina em Pó Sabor Neutro,en:Creatine supplements,creatine,,,data/images/e2aaafed765e023aef654e663dfdcfaf.jpg,5601312107668,Portugal,pt,"{""brands"": ""Way Up"", ""categories"": ""en:Creatine supplements"", ""code"": ""5601312107668"", ""countries"": ""Portugal"", ""image_url"": ""https://images.openfoodfacts.org/images/products/560/131/210/7668/front_pt.7.400.jpg"", ""ingredients_text"": """", ""lang"": ""pt"", ""product_name"": ""Creatina em Pó Sabor Neutro""}"
openfoodfacts,5600499569412,Prozis,Zero Creatine Watermelon Flavor,en:Creatine supplements,creatine,,,data/images/6e5f7aae1680321d3c614ea9bcee80ec.jpg,5600499569412,Mundo,en,"{""brands"": ""Prozis"", ""categories"": ""en:Creatine supplements"", ""code"": ""5600499569412"", ""countries"": ""Mundo"", ""image_url"": ""https://images.openfoodfacts.org/images/products/560/049/956/9412/front_en.7.400.jpg"", ""lang"": ""en"", ""product_name"": ""Zero Creatine Watermelon Flavor""}"
openfoodfacts,0631656716818,SixStar,Creatine,"Dietary supplements, Bodybuilding supplements, Creatine",creatine,"Maltodextrin, Dextrose, Citric Acid, Natural and Artificial Flavor, Salt, Calcium Silicate, Dipotassium Phosphate, Sucralose, FD, C Red No. 40",,data/images/b8f429b8c0c1557d410a1a45cdb942da.jpg,0631656716818,en:us,en,"{""brands"": ""SixStar"", ""categories"": ""Dietary supplements, Bodybuilding supplements, Creatine"", ""code"": ""0631656716818"", ""countries"": ""en:us"", ""image_url"": ""https://images.openfoodfacts.org/images/products/063/165/671/6818/front_en.17.400.jpg"", ""ingredients_text"": ""Maltodextrin, Dextrose, Citric Acid, Natural and Artificial Flavor, Salt, Calcium Silicate, Dipotassium Phosphate, Sucralose, FD, C Red No. 40"", ""lang"": ""en"", ""product_name"": ""Creatine""}"
